diagnostics_Mask-original_Size,"(512, 512, 222)","(512, 512, 241)","(512, 512, 224)","(512, 512, 230)","(512, 512, 218)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)"
diagnostics_Mask-original_BoundingBox,"(282, 184, 183, 17, 15, 12)","(273, 195, 194, 10, 10, 11)","(309, 193, 171, 12, 12, 12)","(258, 213, 192, 14, 13, 12)","(283, 193, 177, 14, 13, 12)","(284, 171, 174, 13, 12, 11)","(262, 176, 165, 15, 15, 11)","(288, 202, 211, 14, 14, 10)"
diagnostics_Mask-original_VoxelNum,1405,574,865,1131,1048,818,1124,1024
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1
original_glrlm_ShortRunEmphasis,0.8501164002995439,0.8572578871631816,0.8493921943520603,0.8701462850701304,0.8511339021500709,0.8586553092180073,0.8336484469052311,0.852411701821179
original_glrlm_ShortRunHighGrayLevelEmphasis,73.5296811936778,50.11383224327734,51.20502661355015,90.70799464779499,55.90067020867029,47.377198732259664,48.6793501148198,66.38564561021082
original_glrlm_ShortRunLowGrayLevelEmphasis,0.02892193999909603,0.05768543142155698,0.046127010419432096,0.02602784853150987,0.03524071519792282,0.04166237535930524,0.032713607322506694,0.029481023453437557
original_glszm_GrayLevelNonUniformity,10.909604519774012,5.45,9.311475409836065,9.395348837209303,9.882352941176471,7.444444444444445,9.0,7.503937007874016
original_glszm_GrayLevelNonUniformityNormalized,0.061636183727536785,0.068125,0.07632356893308251,0.05462412114656571,0.0726643598615917,0.06893004115226338,0.07627118644067797,0.05908611817223634
original_glszm_GrayLevelVariance,107.56493983210444,79.415,63.92179521633969,115.40035154137371,59.88927335640138,52.66323731138546,64.99317724791726,70.72130944261889
original_glszm_HighGrayLevelZoneEmphasis,268.1525423728813,177.425,159.70491803278688,286.5232558139535,161.66176470588235,149.72222222222223,176.3135593220339,200.0
original_glszm_LargeAreaEmphasis,1684.2542372881355,591.375,960.4672131147541,818.25,1303.7794117647059,871.2962962962963,1787.4745762711864,1253.3858267716535
original_glszm_LargeAreaHighGrayLevelEmphasis,60485.49152542373,13805.1625,26568.975409836065,36947.854651162794,45360.93382352941,24696.51851851852,56263.338983050846,47442.52755905512
original_glszm_LargeAreaLowGrayLevelEmphasis,50.40646097952447,28.979768424124405,37.557420648585214,19.726022446891196,40.506809072930714,33.914188865386535,60.50648242934788,35.487663129703186
original_glszm_LowGrayLevelZoneEmphasis,0.03686842808493891,0.08515122487338236,0.06898931056239338,0.03296306175357754,0.05188322177527932,0.05886317627348076,0.04122621102616016,0.03773102857864115
original_glszm_SizeZoneNonUniformity,71.59887005649718,28.85,47.47540983606557,67.31395348837209,53.55882352941177,35.2962962962963,39.67796610169491,39.31496062992126
original_glszm_SizeZoneNonUniformityNormalized,0.40451339014970156,0.360625,0.38914270357430797,0.39136019469983774,0.3938148788927336,0.3268175582990398,0.3362539500143637,0.30956661913323824
original_glszm_SmallAreaEmphasis,0.6601856228729898,0.6148208723240696,0.6472526954502668,0.6500093312191033,0.6388938176351273,0.5719280155192812,0.599806545064429,0.5668090936363257
original_glszm_SmallAreaHighGrayLevelEmphasis,233.6683626925557,161.56768998803878,132.6064202404484,238.5002696115187,119.0694541834504,123.84540020801484,151.33925513736986,146.00460943231067
original_glszm_SmallAreaLowGrayLevelEmphasis,0.023091573560001254,0.03673711804171505,0.038909584400091,0.018330682712557944,0.024193625980548715,0.030818860092363537,0.02184837118271823,0.01299736503663316
original_glszm_ZoneEntropy,6.018776578268192,5.523499307625755,5.504610805436785,6.021968877815431,5.4941959079311875,5.577170378090202,5.640537752494969,5.892822262149505
original_glszm_ZonePercentage,0.12597864768683273,0.13937282229965156,0.14104046242774568,0.15207780725022105,0.1297709923664122,0.13202933985330073,0.10498220640569395,0.1240234375
original_glszm_ZoneVariance,1621.2447253343548,539.894375,910.1967884977156,775.011729313142,1244.3987889273358,813.9296982167352,1696.740879057742,1188.3739847479694
original_ngtdm_Busyness,0.427683065410876,0.4114850064777748,0.4379430768661942,0.3333825139857201,0.5233157831355496,0.4488664395279777,0.5922905943772315,0.4140100269587966
original_ngtdm_Coarseness,0.0057670105069793694,0.013430002946000904,0.008644706482936384,0.006768915983601798,0.007124410972965846,0.00964154850538914,0.006649137790010535,0.00801304329374079
original_ngtdm_Complexity,1259.640501971871,600.9118291809493,755.8552466211211,1546.559303411822,701.1782509331631,590.4300148113304,564.0856086395788,758.2927605995494
original_ngtdm_Contrast,0.03510086538324241,0.067426181333067,0.0359532203334497,0.049676542745963725,0.041135049396688286,0.03645607403751621,0.030654355325952867,0.04334133680555158
original_ngtdm_Strength,18.59911233289593,20.9300105741333,17.473962850457323,21.994081070081645,12.759082436090662,12.110922503530913,11.511373277509824,15.83228015262883
