diagnostics_Mask-original_Size,"(512, 512, 222)","(512, 512, 241)","(512, 512, 224)","(512, 512, 230)","(512, 512, 218)","(512, 512, 216)","(512, 512, 214)","(512, 512, 251)"
diagnostics_Mask-original_BoundingBox,"(283, 316, 181, 22, 23, 13)","(281, 284, 197, 15, 15, 12)","(298, 297, 174, 19, 18, 13)","(263, 331, 190, 21, 21, 12)","(296, 305, 174, 20, 21, 14)","(298, 271, 179, 18, 18, 12)","(279, 300, 167, 21, 21, 13)","(293, 315, 205, 19, 19, 12)"
diagnostics_Mask-original_VoxelNum,2987,1329,2034,2694,2580,1624,2666,2156
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1,1
original_glcm_DifferenceEntropy,3.929977914831866,3.8479333363548878,3.4465255213725294,3.185865863853809,3.1150960240183307,3.016912830431357,2.789335923621875,2.842873227369705
original_glcm_DifferenceVariance,23.044598341451714,22.164974696345936,17.68728068911421,13.512307769016987,12.659149324788409,8.69327114162487,7.663122884323081,8.041661405319342
original_glcm_Id,0.2784609875848736,0.3025257451469472,0.3868415848678464,0.4199997947079003,0.42855993370041773,0.43523142845627394,0.4820740748610666,0.47266153682824036
original_glcm_Idm,0.19040450053983213,0.21831292211453593,0.31327072225050373,0.34911601691912425,0.3583544546827256,0.364799558867273,0.4216715893413605,0.4104345195434714
original_glcm_Idmn,0.9787578513328056,0.9775597229888048,0.9860493273718601,0.9913289247297956,0.9916889943711596,0.9871791221275756,0.991719828836459,0.993055730484997
original_glcm_Idn,0.9046283650947724,0.9044027838948764,0.930393433824035,0.9457601432565147,0.9472944460152974,0.9318391658647166,0.9477421834497299,0.9514049771356965
original_glcm_Imc1,-0.18222854173660458,-0.20549706271726087,-0.19680031113634186,-0.18733650497443854,-0.18184248016563073,-0.17674728402032824,-0.18248019564377888,-0.18113219198666602
original_glcm_Imc2,0.9181353283351759,0.930223544274485,0.904381421754175,0.8834386896580019,0.8731065849116106,0.861012994054589,0.8556863282434448,0.8559110284498319
original_glcm_InverseVariance,0.1943635243603174,0.22110877175400062,0.30369859320804443,0.33764770143812534,0.3459190732010888,0.34855100158477015,0.3892444132644567,0.38139891116218094
original_glcm_JointAverage,19.98352295059747,16.203284548477914,11.032644150138761,10.340659773092257,9.66946323351811,8.791128184805034,8.837648900172534,8.86817410286396
original_glcm_JointEnergy,0.0015587193567659886,0.003420884851179811,0.008027366795785012,0.011339694923704265,0.011953736785602319,0.012668409602082839,0.01804434027654281,0.018283098409577182
original_glcm_JointEntropy,9.722070673700474,8.953082348082331,8.08124963771043,7.620236071076688,7.449401788002861,7.246003497033925,6.860230107319892,6.880771029134233
original_glcm_MCC,0.7845465017088947,0.7401635852654944,0.7537599615631194,0.763286296017488,0.7469580811926888,0.709855288522512,0.7340024726604525,0.7302214391079088
original_glcm_MaximumProbability,0.005780261141074698,0.017519204072069607,0.027522450306074215,0.03956370436913018,0.03819410115509564,0.0423213703898481,0.05635481124300153,0.05749637747756044
