diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,d1cbd93c0a4cdc540acd9bbb7e761d30a03c36ad,3a180b2d834704b44cf2ac6dd3e5916f71615eca,a3549de8f5cff9edcca1387e34b042b3c12200f4,a44fdb6d372fcf497f837f65c84042bdcf45016c,bc5d0eabe580cc188e1ee0d1832c5363905b525b,c629203de592e7ce5fda814ba1b6b6a309b28f8f,253962ed9f55bcbfa9725bf6710ec93a45df3631
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 281)","(512, 512, 233)","(512, 512, 281)","(512, 512, 289)","(512, 512, 273)","(512, 512, 293)","(512, 512, 265)"
diagnostics_Mask-original_BoundingBox,"(180, 296, 138, 29, 28, 17)","(194, 317, 102, 30, 29, 14)","(146, 283, 139, 31, 32, 18)","(216, 285, 151, 27, 28, 17)","(169, 304, 121, 31, 32, 17)","(154, 289, 157, 31, 38, 18)","(169, 299, 115, 33, 31, 18)"
diagnostics_Mask-original_VoxelNum,4660,4147,6302,4653,5719,7183,6610
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(195.0098712446352, 310.3311158798283, 146.20450643776823)","(210.1138172172655, 332.60525681215336, 109.11574632264288)","(161.46033005395114, 299.01190098381466, 148.2713424309743)","(229.81968622394155, 299.24306898774984, 159.50419084461637)","(185.09092498688582, 320.29445707291484, 129.2622836160168)","(170.04427119587916, 309.12265070304886, 165.53905053598774)","(185.42813918305598, 314.853706505295, 123.61724659606656)"
original_glrlm_RunLengthNonUniformityNormalized,0.8098400183592129,0.6460497572309196,0.6244617372116902,0.6603250546797774,0.6344784612297552,0.6106387337803073,0.6225306910837894
original_glrlm_RunPercentage,0.8878507758336084,0.765854834820352,0.7555232771037278,0.7835970176395708,0.7655184472809933,0.7437218218228936,0.7540323519143488
original_glrlm_RunVariance,0.17031400829953597,0.5215156392616861,0.5163259940241992,0.42056019488230906,0.4871908534788875,0.56807412536352,0.531234338450851
original_glrlm_ShortRunEmphasis,0.9181022731161538,0.8298285517894198,0.816822885401524,0.8386071462583294,0.8219868500658996,0.8078912087564727,0.8155341047353587
original_glrlm_ShortRunHighGrayLevelEmphasis,192.76694678613484,166.96691105071199,60.38678786335749,64.577369836762,60.58542467569736,57.002424106758255,48.82228035987963
original_glrlm_ShortRunLowGrayLevelEmphasis,0.03305168854361655,0.08764666218258463,0.03960436195061556,0.03978514737085914,0.04079715546362628,0.034475470356769684,0.08009718560450334
original_glszm_GrayLevelNonUniformity,49.54651162790697,23.08831908831909,35.302158273381295,32.05314009661836,31.2816,41.732166890982505,38.824657534246576
original_glszm_GrayLevelNonUniformityNormalized,0.03600763926446728,0.03288934343065397,0.05079447233580042,0.0516153624744257,0.05005056,0.05616711560024563,0.05318446237568024
original_glszm_GrayLevelVariance,76.96163413923065,228.00710424428377,70.3361192484861,72.00424747368668,53.11122944,60.1921097583729,60.40278663914431
original_glszm_HighGrayLevelZoneEmphasis,317.9556686046512,543.9045584045584,217.42589928057555,220.79710144927537,202.968,202.87079407806192,177.36849315068494
original_glszm_LargeAreaEmphasis,366.59302325581393,2790.9017094017095,7183.424460431655,3493.009661835749,4981.048,10247.769851951547,5996.660273972603
original_glszm_LargeAreaHighGrayLevelEmphasis,8690.484011627907,29194.669515669517,173488.21870503598,90684.2576489533,140301.6688,263301.0403768506,108220.31506849315
original_glszm_LargeAreaLowGrayLevelEmphasis,22.031446945877992,357.9792376049691,342.23380278935093,151.8383257692003,214.2419708927902,441.03779800654615,418.34495549618435
original_glszm_LowGrayLevelZoneEmphasis,0.020604271329297576,0.061402992596957265,0.03326760769109721,0.03546880703143437,0.03212477989802597,0.028918480073538855,0.0669495630379447
original_glszm_SizeZoneNonUniformity,484.7078488372093,347.2165242165242,279.27625899280577,247.4380032206119,233.8416,283.20726783310903,255.5808219178082
