diagnostics_Image-original_Maximum,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0,3071.0
diagnostics_Mask-original_Hash,0040b6a6ba02e6db08f95cce53a7dde56c7def94,7bfe57415da2f2ef30bdd8f1aa20fe41e8bc6507,ca3ccf8721bb1d202fe3f275417d1a92a8f120b3,7d4f7445237cb8762a81e4dc0c37d5514a20ee70,2ec95e2613ee2f38ca7b21c6c1bbcdb9ee5b32cb,e890e256792943f06dcf4ffb50f125fdf9cb420c,b94b9d0bac0f00aeef72850f0812ced8b6fb2a36
diagnostics_Mask-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Mask-original_Size,"(512, 512, 225)","(512, 512, 210)","(512, 512, 241)","(512, 512, 237)","(512, 512, 253)","(512, 512, 238)","(512, 512, 196)"
diagnostics_Mask-original_BoundingBox,"(276, 162, 67, 43, 65, 51)","(267, 170, 60, 39, 62, 50)","(302, 152, 93, 39, 71, 48)","(278, 178, 80, 41, 57, 55)","(272, 157, 80, 46, 63, 55)","(245, 159, 69, 59, 68, 54)","(243, 149, 52, 48, 70, 46)"
diagnostics_Mask-original_VoxelNum,39345,36513,35780,36457,39789,44351,37253
diagnostics_Mask-original_VolumeNum,1,1,1,1,1,1,1
diagnostics_Mask-original_CenterOfMassIndex,"(299.8364722328123, 198.84135214131402, 91.45126445545813)","(287.1832498014406, 204.8922027770931, 84.12943335250459)","(322.2835103409726, 191.0580212409167, 116.17227501397429)","(300.1825163891708, 209.60062539430012, 106.63979482678224)","(297.6457060996758, 193.36635753600243, 107.21375254467316)","(277.58521792067825, 196.6017677166242, 95.4821762756195)","(269.7192709312002, 188.81896759992483, 74.11368211956083)"
original_shape_Sphericity,0.6122383154662829,0.6099741310196508,0.5836388461585016,0.6105754587431848,0.6049602573369233,0.6001900739172558,0.598845563839401
original_shape_SurfaceArea,9086.127323281415,8685.04240759538,8959.082665080825,8666.295664418476,9276.640352222055,10049.468637326147,8964.456072350182
original_shape_SurfaceVolumeRatio,0.23289277705318248,0.239537266666386,0.25198699617004744,0.2394420484523017,0.2346608069316298,0.2281504995982821,0.2423773093048797
original_shape_VoxelVolume,39345.0,36513.0,35780.0,36457.0,39789.0,44351.0,37253.0
original_firstorder_10Percentile,-900.0,-908.0,-898.0,-910.0,-909.0,-900.0,-983.0
original_firstorder_90Percentile,88.0,-13.0,-2.0,22.0,4.0,34.0,-770.0
original_firstorder_Energy,21465779248.0,20383231365.0,19382729769.0,20863277223.0,22548062816.0,24198804622.0,29068094883.0
original_firstorder_Entropy,4.769426858485213,4.633110303339119,4.641767386485417,4.646470631674091,4.5949375677320345,4.636189408078954,3.833426438124671
original_firstorder_InterquartileRange,278.0,272.0,285.0,246.0,249.0,286.0,98.0
original_firstorder_Kurtosis,4.213239647813276,3.8840760705412443,3.7662147681362486,4.4594740052881505,4.089630173173275,3.738067641199109,23.667701773873137
original_firstorder_Maximum,577.0,755.0,811.0,743.0,770.0,836.0,750.0
original_firstorder_MeanAbsoluteDeviation,285.21027695201,257.57352927963007,258.5017504509422,266.3269809876016,258.1755273822233,267.1045116036428,95.29374850470911
original_firstorder_Mean,-638.5639852586097,-670.4641360611289,-658.5804080491895,-670.4516279452506,-674.2310688883863,-655.8204775540574,-864.531151853542
original_firstorder_Median,-816.0,-831.0,-819.0,-836.0,-835.0,-821.0,-903.0
original_firstorder_Minimum,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0,-1024.0
original_firstorder_Range,1601.0,1779.0,1835.0,1767.0,1794.0,1860.0,1774.0
original_firstorder_RobustMeanAbsoluteDeviation,167.93597013399383,158.76362662097927,161.96052024589318,152.07058233151434,153.34644556665515,166.9694097259723,41.83666599007484
