diagnostics_Image-original_Hash,cae5dc6ef645f4eda288ee95007d7e6b336064b0,69064a8413ef1e96d0ab8c2a0eafb27816cb4adb,28a5ab25d3750a3ec943781760a4f5f2c37d1b10,d17543f9438613a266a44185e7814bfb323e862b,bc97507ebcf8c07c934a06abc7c1f3d532ce6de4
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
original_gldm_GrayLevelNonUniformity,946.4789584799437,1282.6153185221553,1701.3689185155706,3040.3166189915305,2263.0997229916898
original_gldm_GrayLevelVariance,56.86098798508945,52.35753577901723,47.74933456722224,42.004327637002945,39.60814606171367
original_gldm_HighGrayLevelEmphasis,164.2786769880366,104.3029335951884,103.93443438463835,104.28846261708452,94.75484764542936
original_gldm_LargeDependenceEmphasis,65.20380014074595,80.36197373266234,81.06586409312506,71.49245611083067,62.50400933080624
original_gldm_LargeDependenceHighGrayLevelEmphasis,3682.290218156228,1800.199828157604,2285.4109043876233,2564.705311571036,1961.257253243913
original_gldm_LargeDependenceLowGrayLevelEmphasis,1.4197302104545981,5.175833283009117,3.830737098176148,2.5332595356486336,2.6476769949090873
original_gldm_LowGrayLevelEmphasis,0.01726275308906807,0.050683721268580624,0.038896625468890396,0.02978965675700433,0.03609359257077962
original_gldm_SmallDependenceEmphasis,0.17437064263893545,0.159485390962235,0.13997339568707715,0.13644618913763426,0.1474270582626946
original_gldm_SmallDependenceHighGrayLevelEmphasis,72.6313763326903,54.72722905908057,48.80709682873412,44.68904263174753,42.372285472775516
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0016583007649503948,0.0037199503319514716,0.002667782588682431,0.002201587819330974,0.0033449310882188777
original_glrlm_GrayLevelNonUniformity,610.0651419240762,775.60534866254,1029.1295884182575,1924.9527939043994,1492.8975039552424
original_glrlm_GrayLevelNonUniformityNormalized,0.10951870844468568,0.12604808760258088,0.13689473899310012,0.14155737652221287,0.13936767650670198
original_glrlm_GrayLevelVariance,66.80161392364786,64.12510300244786,59.07682773652774,51.06556632592688,47.215938829154965
original_glrlm_HighGrayLevelRunEmphasis,191.5312594896682,129.41811380300902,127.77775960592113,123.83136043077572,111.05749165865072
original_glrlm_LongRunEmphasis,2.1025057496162067,2.371342031359087,2.410210302956661,2.2605327854154402,2.1005898688566984
original_glrlm_LongRunHighGrayLevelEmphasis,261.1777132156858,165.01944499618992,172.92789345632465,173.9729586843262,149.700692397117
original_glrlm_LongRunLowGrayLevelEmphasis,0.039651667368538125,0.133199023982898,0.10170393924800569,0.07224540898464492,0.08046019118492814
original_glrlm_LowGrayLevelRunEmphasis,0.016217507060663324,0.046751710775480904,0.036464672511450975,0.02829558383440927,0.03460538961244488
original_glrlm_RunEntropy,4.812211061365959,4.710818828010171,4.629196253635836,4.500630765346319,4.4462981099460075
original_glrlm_RunLengthNonUniformity,3728.3066355469136,3928.033909818565,4696.64749307806,8714.881925323802,7090.213554916724
original_glrlm_RunLengthNonUniformityNormalized,0.6681038627227232,0.63672342579013,0.6231166439462908,0.6391728266421983,0.6606007323899198
original_glrlm_RunPercentage,0.7826449412656309,0.7534344874470074,0.7463398207602765,0.761684722815465,0.7801036257808384
