diagnostics_Image-original_Hash,cae5dc6ef645f4eda288ee95007d7e6b336064b0,69064a8413ef1e96d0ab8c2a0eafb27816cb4adb,28a5ab25d3750a3ec943781760a4f5f2c37d1b10,d17543f9438613a266a44185e7814bfb323e862b,bc97507ebcf8c07c934a06abc7c1f3d532ce6de4
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 237)","(512, 512, 273)","(512, 512, 249)","(512, 512, 273)","(512, 512, 273)"
original_glrlm_RunLengthNonUniformityNormalized,0.7489795795254311,0.6599861732875496,0.6450689990431552,0.6411140337285209,0.6708233054726833
original_glrlm_RunPercentage,0.8407213029428987,0.7746635106689609,0.7613388720017491,0.7631820846967147,0.7870091202725871
original_glrlm_RunVariance,0.29702580644693505,0.5001217780661101,0.5554647728672791,0.5177677808129976,0.42913686406674356
original_glrlm_ShortRunEmphasis,0.8877815837327854,0.8387791119806647,0.8296681183129784,0.8275132022056506,0.8452899011734476
original_glrlm_ShortRunHighGrayLevelEmphasis,303.09771211477675,120.18750346922123,98.07749908874142,96.55913123636161,116.74470069348
original_glrlm_ShortRunLowGrayLevelEmphasis,0.01483718053164777,0.03507632514485422,0.043966560848945666,0.02301179394353234,0.027537505291159576
original_glszm_GrayLevelNonUniformity,55.50054054054054,59.492248062015506,69.11682242990655,124.41055614594403,90.11030741410488
original_glszm_GrayLevelNonUniformityNormalized,0.030000292184075968,0.038431684794583656,0.040371975718403355,0.04407033515619697,0.040737028668221015
original_glszm_GrayLevelVariance,101.91143900657416,94.07546955645026,88.95909986680059,79.63671069421278,100.75310794482832
original_glszm_HighGrayLevelZoneEmphasis,474.92324324324323,333.1653746770026,299.10747663551405,298.3790294013461,334.8901446654611
original_glszm_LargeAreaEmphasis,842.6421621621622,5803.28488372093,8731.353387850468,20079.559688274883,12044.693942133816
original_glszm_LargeAreaHighGrayLevelEmphasis,126221.00162162162,107624.54005167959,146901.05140186916,607220.2022670917,307644.31057866185
original_glszm_LargeAreaLowGrayLevelEmphasis,24.63637555162517,348.5199254841782,581.5664148924434,697.0877179571155,509.5580365862496
original_glszm_LowGrayLevelZoneEmphasis,0.009276045553733337,0.02131946625794916,0.02792630666493975,0.015453249195369664,0.020082790414263994
original_glszm_SizeZoneNonUniformity,815.038918918919,693.3888888888889,719.4906542056075,1204.5706695005313,905.8291139240506
original_glszm_SizeZoneNonUniformityNormalized,0.44056157779401023,0.44792563881711167,0.4202632325967333,0.42669878480358886,0.4095068326962254
original_glszm_SmallAreaEmphasis,0.690153636970669,0.6958826645379805,0.6738213076546785,0.6790987988147441,0.664482327482992
original_glszm_SmallAreaHighGrayLevelEmphasis,351.35893710304134,255.5890921966479,225.88742901254156,225.49304042402053,243.2278614102106
original_glszm_SmallAreaLowGrayLevelEmphasis,0.005311392930997132,0.013903202611549441,0.014661585858820473,0.009242846157613565,0.012098306342113332
original_glszm_ZoneEntropy,6.854399149823934,6.64510524806857,6.683402418400575,6.640547222044062,6.780177675216819
original_glszm_ZonePercentage,0.2607837609247251,0.17576927444078574,0.1569634179884478,0.13882468650110646,0.15454481939495562
original_glszm_ZoneVariance,827.938046457268,5770.91701678919,8690.76487814165,20027.671728196943,12002.825085878769
original_ngtdm_Busyness,1.467674227370251,3.2741186097402597,4.631818352211397,6.422989568757017,4.5394659752036075
original_ngtdm_Coarseness,0.0013311724177978497,0.0007990359543837777,0.0006530738238251752,0.0003394752391150259,0.0005110967393617844
original_ngtdm_Complexity,2197.6121742121563,2287.1559169180164,1834.3701683423133,1820.731564361464,2137.7461455384923
original_ngtdm_Contrast,0.33244657502509967,0.07449969703000599,0.06204500814751327,0.0430321096400683,0.06173518978365938
original_ngtdm_Strength,2.036647612020877,3.353473601940785,2.5272957761619166,1.4069658641872504,2.304402240574895
