diagnostics_Image-original_Hash,83cef79e9db00927fdd629a802c8e4285ff46733,0ad74b934f63b25e0497aecc4970b967f6935edc,e867abe4fdad471c793a4e52e5ef1256e58b550d,5d7acdbd3fe96844e0885b124aa12f72abaf154f
diagnostics_Image-original_Dimensionality,3D,3D,3D,3D
diagnostics_Image-original_Spacing,"(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
diagnostics_Image-original_Size,"(512, 512, 174)","(512, 512, 217)","(512, 512, 209)","(512, 512, 241)"
original_glrlm_ShortRunLowGrayLevelEmphasis,0.011350071859303692,0.08634052967198275,0.008715614857665298,0.0071556072541364086
original_glszm_GrayLevelNonUniformity,39.75,75.34959349593495,45.94601542416452,44.64039155074704
original_glszm_GrayLevelNonUniformityNormalized,0.017373251748251748,0.018017597679563596,0.02362263003813086,0.022998656131245254
original_glszm_GrayLevelVariance,292.51297721618414,351.0632123713,171.1082549018312,185.56686709236223
original_glszm_HighGrayLevelZoneEmphasis,1255.8719405594406,1119.3020086083213,745.8010282776349,797.9572385368367
original_glszm_LargeAreaEmphasis,20.629807692307693,71.1078431372549,124.66272493573265,80.77691911385884
original_glszm_LargeAreaHighGrayLevelEmphasis,21518.403846153848,10556.363462458154,94930.08071979435,59528.51725914477
original_glszm_LargeAreaLowGrayLevelEmphasis,0.4380189881635991,63.95200921102141,1.3173906081867746,0.6295053448284438
original_glszm_LowGrayLevelZoneEmphasis,0.008136735375291328,0.026016801824669818,0.0065693629022588575,0.007313797816740023
original_glszm_SizeZoneNonUniformity,1178.3356643356644,2215.3797226207557,848.7634961439588,795.8088614116435
original_glszm_SizeZoneNonUniformityNormalized,0.5150068463005526,0.5297416840317445,0.4363822602282565,0.40999941340115587
original_glszm_SmallAreaEmphasis,0.7454787084232829,0.7560695355988921,0.6866373234416966,0.6650705333876152
original_glszm_SmallAreaHighGrayLevelEmphasis,915.18414743332,857.1660470419986,533.7152249288271,545.7016508322903
original_glszm_SmallAreaLowGrayLevelEmphasis,0.005101146683877596,0.015321236824958128,0.003467090950350246,0.004555081874647525
original_glszm_ZoneEntropy,7.2972545011279575,7.325544595298637,7.188718665533063,7.364107831327009
original_glszm_ZonePercentage,0.4947027027027027,0.5139486297161115,0.3196384552177486,0.33838912133891214
original_glszm_ZoneVariance,16.543684707993055,67.32201778659697,114.87499553928403,72.04384361858759
original_ngtdm_Busyness,0.16541309448550973,0.8408072607269154,0.30460098695351184,0.288180459194212
original_ngtdm_Coarseness,0.002578321816194381,0.0004890477896407672,0.002108358532247559,0.0022514162619320407
original_ngtdm_Complexity,13009.383032884816,30435.26881574483,6065.052009236844,6456.562407480671
original_ngtdm_Contrast,0.5252592222199768,0.6468470464510416,0.2779622777552043,0.26093013971479284
original_ngtdm_Strength,8.224340828240207,5.413281142533145,6.8721105840517485,7.52299317252577
